# Source: GeoNames JP dump (https://download.geonames.org/export/dump/JP.zip)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Columns: display_name	lat	lon	feature_code	population	search_terms
Abu-gun (Yamaguchi)	34.55574	131.57367	ADM2	0	abugun|阿武郡|yamaguchi|やまぐち|やまぐちけん|ヤマグチ|ヤマグチケン|山口|山口县|山口県|山口縣|やまぐち阿武郡|やまぐちけん阿武郡|ヤマグチ阿武郡|ヤマグチケン阿武郡|山口阿武郡|山口县阿武郡|山口県阿武郡|山口縣阿武郡
Abukanai (Hokkaido)	44.2	143.18333	PPL	0	abukanai|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道
Abukuma (Miyagi-ken)	38.09801	140.8683	PPLX	0	abukuma|阿武隈|miyagiken|みやぎけん|ミヤギケン|宫城县|宮城|宮城县|宮城県|宮城縣|みやぎけん阿武隈|ミヤギケン阿武隈|宫城县阿武隈|宮城阿武隈|宮城县阿武隈|宮城県阿武隈|宮城縣阿武隈
Aburaden (Aomori-ken)	40.62653	140.43093	PPL	0	aburaden|あぶらでん|アブラデン|油伝|aomoriken|あおもりけん|アオモリケン|青森|青森县|青森県|青森縣|あおもりけんあぶらでん|あおもりけんアブラデン|あおもりけん油伝|アオモリケンあぶらでん|アオモリケンアブラデン|アオモリケン油伝|青森あぶらでん|青森アブラデン|青森油伝|青森县あぶらでん|青森县アブラデン|青森县油伝|青森県あぶらでん|青森県アブラデン|青森県油伝|青森縣あぶらでん|青森縣アブラデン|青森縣油伝
Aburakawa (Aomori-ken)	40.84365	140.70301	PPL	0	aburakawa|あぶらかわ|アブラカワ|油川|aomoriken|あおもりけん|アオモリケン|青森|青森县|青森県|青森縣|あおもりけんあぶらかわ|あおもりけんアブラカワ|あおもりけん油川|アオモリケンあぶらかわ|アオモリケンアブラカワ|アオモリケン油川|青森あぶらかわ|青森アブラカワ|青森油川|青森县あぶらかわ|青森县アブラカワ|青森县油川|青森県あぶらかわ|青森県アブラカワ|青森県油川|青森縣あぶらかわ|青森縣アブラカワ|青森縣油川
Aburako (Iwate)	40.31211	141.23087	PPL	0	aburako|あぶらこ|アブラコ|油子|iwate|いわて|いわてけん|イワテ|イワテケン|岩手|岩手县|岩手県|岩手縣|いわてあぶらこ|いわてアブラコ|いわて油子|いわてけんあぶらこ|いわてけんアブラコ|いわてけん油子|イワテあぶらこ|イワテアブラコ|イワテ油子|イワテケンあぶらこ|イワテケンアブラコ|イワテケン油子|岩手あぶらこ|岩手アブラコ|岩手油子|岩手县あぶらこ|岩手县アブラコ|岩手县油子|岩手県あぶらこ|岩手県アブラコ|岩手県油子|岩手縣あぶらこ|岩手縣アブラコ|岩手縣油子
Aburakubo (Iwate)	40.30571	141.20733	PPL	0	aburakubo|あぶらくぼ|アブラクボ|油久保|iwate|いわて|いわてけん|イワテ|イワテケン|岩手|岩手县|岩手県|岩手縣|いわてあぶらくぼ|いわてアブラクボ|いわて油久保|いわてけんあぶらくぼ|いわてけんアブラクボ|いわてけん油久保|イワテあぶらくぼ|イワテアブラクボ|イワテ油久保|イワテケンあぶらくぼ|イワテケンアブラクボ|イワテケン油久保|岩手あぶらくぼ|岩手アブラクボ|岩手油久保|岩手县あぶらくぼ|岩手县アブラクボ|岩手县油久保|岩手県あぶらくぼ|岩手県アブラクボ|岩手県油久保|岩手縣あぶらくぼ|岩手縣アブラクボ|岩手縣油久保
Aburato (Yamagata-ken)	38.74498	139.70973	PPL	0	aburato|油戸|yamagataken|やまかたけん|山形|山形县|山形県|山形縣|やまかたけん油戸|山形油戸|山形县油戸|山形県油戸|山形縣油戸
Aburatsu (Miyazaki)	31.58006	131.40908	PPL	0	aburatsu|油津|miyazaki|みやざき|みやざきけん|ミヤザキ|ミヤザキケン|宫崎县|宮崎|宮崎県|宮崎縣|みやざき油津|みやざきけん油津|ミヤザキ油津|ミヤザキケン油津|宫崎县油津|宮崎油津|宮崎県油津|宮崎縣油津
Aburayachō (Aichi-ken)	35.10312	136.84963	PPL	0	aburayachō|aburayacho|あぶらやちょう|アブラヤチョウ|油屋町|aichiken|あいちけん|愛知|愛知県|愛知縣|爱知县|あいちけんあぶらやちょう|あいちけんアブラヤチョウ|あいちけん油屋町|愛知あぶらやちょう|愛知アブラヤチョウ|愛知油屋町|愛知県あぶらやちょう|愛知県アブラヤチョウ|愛知県油屋町|愛知縣あぶらやちょう|愛知縣アブラヤチョウ|愛知縣油屋町|爱知县あぶらやちょう|爱知县アブラヤチョウ|爱知县油屋町
Aburayokochō (Aomori-ken)	40.64665	140.59488	PPL	0	aburayokochō|aburayokocho|あぶらよこちょう|アブラヨコチョウ|油横丁|aomoriken|あおもりけん|アオモリケン|青森|青森县|青森県|青森縣|あおもりけんあぶらよこちょう|あおもりけんアブラヨコチョウ|あおもりけん油横丁|アオモリケンあぶらよこちょう|アオモリケンアブラヨコチョウ|アオモリケン油横丁|青森あぶらよこちょう|青森アブラヨコチョウ|青森油横丁|青森县あぶらよこちょう|青森县アブラヨコチョウ|青森县油横丁|青森県あぶらよこちょう|青森県アブラヨコチョウ|青森県油横丁|青森縣あぶらよこちょう|青森縣アブラヨコチョウ|青森縣油横丁
Abuta (Hokkaido)	42.55389	140.75722	PPL	0	abuta|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道
Abuta-gun (Hokkaido)	42.79676	140.81151	ADM2	0	abutagun|あぶたぐん|虻田郡|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどうあぶたぐん|ほっかいどう虻田郡|ホッカイドウあぶたぐん|ホッカイドウ虻田郡|北海あぶたぐん|北海虻田郡|北海道あぶたぐん|北海道虻田郡
Acacia Dai (Hyōgo)	34.90022	135.18572	PPL	0	acaciadai|あかしあ台|hyōgo|hyogo|ひょうご|ひょうごけん|ヒョウゴ|ヒョウゴケン|兵库县|兵庫|兵庫県|兵庫縣|ひょうごあかしあ台|ひょうごけんあかしあ台|ヒョウゴあかしあ台|ヒョウゴケンあかしあ台|兵库县あかしあ台|兵庫あかしあ台|兵庫県あかしあ台|兵庫縣あかしあ台
Achi Mura (Nagano-ken)	35.44738	137.68434	ADM3	6864	achimura|あちむら|アチムラ|阿智村|naganoken|なかのけん|長野|長野県|長野縣|长野县|なかのけんあちむら|なかのけんアチムラ|なかのけん阿智村|長野あちむら|長野アチムラ|長野阿智村|長野県あちむら|長野県アチムラ|長野県阿智村|長野縣あちむら|長野縣アチムラ|長野縣阿智村|长野县あちむら|长野县アチムラ|长野县阿智村
Achiga (Nara-ken)	34.37975	135.80232	PPL	0	achiga|阿知賀|naraken|ならけん|奈良|奈良县|奈良県|奈良縣|ならけん阿知賀|奈良阿知賀|奈良县阿知賀|奈良県阿知賀|奈良縣阿知賀
Achigaya (Shizuoka)	34.84073	138.20128	PPL	0	achigaya|阿知ケ谷|shizuoka|しずおか|しずおかけん|シズオカ|シズオカケン|静冈县|静岡|静岡県|靜岡縣|しずおか阿知ケ谷|しずおかけん阿知ケ谷|シズオカ阿知ケ谷|シズオカケン阿知ケ谷|静冈县阿知ケ谷|静岡阿知ケ谷|静岡県阿知ケ谷|靜岡縣阿知ケ谷
Achimotochō (Mie-ken)	34.83354	136.44542	PPL	0	achimotochō|achimotocho|安知本町|mieken|みえけん|三重|三重县|三重県|三重縣|みえけん安知本町|三重安知本町|三重县安知本町|三重県安知本町|三重縣安知本町
Ada (Okinawa)	26.74513	128.31546	PPL	0	ada|あだ|安田|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣|おきなわあだ|おきなわ安田|おきなわけんあだ|おきなわけん安田|オキナワあだ|オキナワ安田|オキナワケンあだ|オキナワケン安田|冲绳县あだ|冲绳县安田|沖縄あだ|沖縄安田|沖縄県あだ|沖縄県安田|沖繩縣あだ|沖繩縣安田
Adachi (Fukuoka Prefecture)	33.8678	130.89975	PPL	0	adachi|足立|fukuokaprefecture|ふくおかけん|福冈县|福岡|福岡県|福岡縣|ふくおかけん足立|福冈县足立|福岡足立|福岡県足立|福岡縣足立
Adachi (Kagoshima-ken)	28.15309	129.19904	PPL	0	adachi|阿多地|kagoshimaken|かごしまけん|鹿儿岛县|鹿児島|鹿児島県|鹿兒島縣|かごしまけん阿多地|鹿儿岛县阿多地|鹿児島阿多地|鹿児島県阿多地|鹿兒島縣阿多地
Adachi (Tokyo Prefecture)	35.76318	139.80761	PPLX	695043	adachi|足立|足立区|tokyoprefecture|とうきょうと|东京都|東京|東京都|とうきょうと足立|とうきょうと足立区|东京都足立|东京都足立区|東京足立|東京足立区|東京都足立|東京都足立区
Adachi Ku (Tokyo Prefecture)	35.7788	139.79509	ADM2	0	adachiku|あだちく|アダチク|足立区|足立區|tokyoprefecture|とうきょうと|东京都|東京|東京都|とうきょうとあだちく|とうきょうとアダチク|とうきょうと足立区|とうきょうと足立區|东京都あだちく|东京都アダチク|东京都足立区|东京都足立區|東京あだちく|東京アダチク|東京足立区|東京足立區|東京都あだちく|東京都アダチク|東京都足立区|東京都足立區
Adachi-gun (Fukushima-ken)	37.54458	140.34794	ADM2	0	adachigun|安達郡|fukushimaken|ふくしまけん|福岛县|福島|福島県|福島縣|ふくしまけん安達郡|福岛县安達郡|福島安達郡|福島県安達郡|福島縣安達郡
Adakae (Shimane-ken)	35.43148	133.1323	PPL	0	adakae|出雲郷|shimaneken|しまねけん|シマネケン|岛根县|島根|島根県|島根縣|しまねけん出雲郷|シマネケン出雲郷|岛根县出雲郷|島根出雲郷|島根県出雲郷|島根縣出雲郷
